os_name;os_system;os_distrib;os_version;os_arch;os_type;os_eos;supported;Quantité
FreeBSD TrueNAS 12 stable (64b);FreeBSD;TrueNAS;12 stable;64b;nas;30/06/2024;OUI;1
Linux Centos 5 (32b);Linux;Centos;5;32b;server;31/03/2017;NON;1
Linux Centos 6 (32b);Linux;Centos;6;32b;server;30/11/2020;NON;0
Linux Centos 6 (64b);Linux;Centos;6;64b;server;30/11/2020;NON;4
Linux Centos 7 (64b);Linux;Centos;7;64b;server;30/06/2024;OUI;29
Linux Centos 8 (64b);Linux;Centos;8;64b;server;17/06/2018;NON;3
Linux RedHat 6 entreprise (64b);Linux;RedHat;6 entreprise;64b;server;30/11/2020;NON;6
Linux Debian 6 (32b);Linux;Debian;6;32b;server;31/05/2014;NON;0
Linux Debian 6 (64b);Linux;Debian;6;64b;server;31/05/2014;NON;0
Linux Debian 7 (64b);Linux;Debian;7;64b;server;25/04/2016;NON;5
Linux Debian 8 (32b);Linux;Debian;8;32b;server;25/04/2016;NON;2
Linux Debian 8 (64b);Linux;Debian;8;64b;server;25/04/2016;NON;8
Linux Debian 10 (64b);Linux;Debian;10;64b;server;01/08/2022;OUI;3
Linux Fedora 9 (32b);Linux;Fedora;9;32b;server;10/07/2009;NON;3
Linux Oracle Linux 7 (64b);Linux;Oracle Linux;7;64b;server;01/07/2024;OUI;1
Linux Oracle Linux 8 (64b);Linux;Oracle Linux;8;64b;server;01/07/2029;OUI;5
Linux Oracle  VM Server  3.4.4 (64b);Linux;Oracle  VM Server ;3.4.4;64b;hyperviseur;31/03/2024;OUI;2
Linux Suse 11 entreprise  (64b);Linux;Suse;11 entreprise ;64b;nas;31/10/2024;OUI;1
Linux Suse 11 entreprise SP1 EMC (64b);Linux;Suse;11 entreprise SP1 EMC;64b;nas;31/10/2024;OUI;12
Linux Suse 12 entreprise SP1 EMC (64b);Linux;Suse;12 entreprise SP1 EMC;64b;nas;31/10/2024;OUI;2
Linux Ubuntu 13 (64b);Linux;Ubuntu;13;64b;server;01/07/2014;NON;1
Linux Ubuntu 12 LTS (64b);Linux;Ubuntu;12 LTS;64b;server;28/04/2017;NON;1
Linux Ubuntu 18 LTS (64b);Linux;Ubuntu;18 LTS;64b;server;28/04/2023;OUI;2
Linux Ubuntu 20 LTS (64b);Linux;Ubuntu;20 LTS;64b;server;01/04/2025;OUI;17
Linux Ubuntu 22 LTS (64b);Linux;Ubuntu;22 LTS;64b;server;01/04/2027;OUI;2
Linux VMWare ESXI 6.0.0 (64b);Linux;VMWare;ESXI 6.0.0;64b;hyperviseur;12/03/2020;NON;3
Linux VMWare ESXI 6.5.0 (64b);Linux;VMWare;ESXI 6.5.0;64b;hyperviseur;15/10/2022;OUI;11
Linux VMWare ESXI 6.7.0 (64b);Linux;VMWare;ESXI 6.7.0;64b;hyperviseur;15/10/2022;OUI;0
Linux VMWare ESXI 7,0.0 (64b);Linux;VMWare;ESXI 7,0.0;64b;hyperviseur;02/04/2027;OUI;0
Linux VMWare vCenter 6 (64b);Linux;VMWare;vCenter 6;64b;server;12/03/2020;NON;0
Linux VMWare vCenter 6.5 (64b);Linux;VMWare;vCenter 6.5;64b;server;15/10/2022;OUI;0
Linux VMWare vCenter 6.7 (64b);Linux;VMWare;vCenter 6.7;64b;server;15/10/2022;OUI;1
Linux VMWare vCenter 7.0 (64b);Linux;VMWare;vCenter 7.0;64b;server;02/04/2027;OUI;0
Microsoft Windows 7 (64b);Microsoft;Windows;7;64b;client;14/01/2020;NON;3
Microsoft Windows 10 (64b);Microsoft;Windows;10;64b;client;14/10/2025;OUI;4
Microsoft Windows Server 2003 (32b);Microsoft;Windows;Server 2003;32b;server;14/07/2015;NON;10
Microsoft Windows Server 2003 (64b);Microsoft;Windows;Server 2003;64b;server;14/07/2015;NON;0
Microsoft Windows Server 2003 R2 (32b);Microsoft;Windows;Server 2003 R2;32b;server;14/07/2015;NON;0
Microsoft Windows Server 2003 R2 (64b);Microsoft;Windows;Server 2003 R2;64b;server;14/07/2015;NON;0
Microsoft Windows Server 2008 (32b);Microsoft;Windows;Server 2008;32b;server;14/01/2020;NON;3
Microsoft Windows Server 2008 (64b);Microsoft;Windows;Server 2008;64b;server;14/01/2020;NON;0
Microsoft Windows Server 2008 R2 (64b);Microsoft;Windows;Server 2008 R2;64b;server;14/01/2020;NON;40
Microsoft Windows Server 2012 (64b);Microsoft;Windows;Server 2012;64b;server;10/10/2023;OUI;0
Microsoft Windows Server 2012 R2 (64b);Microsoft;Windows;Server 2012 R2;64b;server;10/10/2023;OUI;45
Microsoft Windows Server 2016  (64b);Microsoft;Windows;Server 2016 ;64b;server;12/01/2027;OUI;47
Microsoft Windows Server 2019  (64b);Microsoft;Windows;Server 2019 ;64b;server;09/01/2029;OUI;19
Total;;;;;;;;297
